Resultados Elecciones Generales Congresal - 

"APURIMAC"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"316,000","219,334","69.409"
""
""
" ","Total",1,2,3,4
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP","13,718","4,954","2,201","1,633","1,278"
"PARTIDO NACIONALISTA PERUANO","4,303","297","270","776","28"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2,505","231","183","155","545"
"PARTIDO MORADO","5,765","3,449","431","286","61"
"PERU PATRIA SEGURA","379","25","22","14","7"
"VICTORIA NACIONAL","1,649","556","195","43","16"
"ACCION POPULAR","17,145","5,237","1,853","3,388","48"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","3,643","571","490","431","45"
"PODEMOS PERU","3,369","355","1,630","73","9"
"JUNTOS POR EL PERU","17,691","3,544","4,664","4,336","202"
"PARTIDO POPULAR CRISTIANO - PPC","391","54","22","18","2"
"FUERZA POPULAR","8,245","1,526","548","321","137"
"UNION POR EL PERU","5,839","1,710","404","588","469"
"RENOVACION POPULAR","4,406","1,455","489","142","35"
"RENACIMIENTO UNIDO NACIONAL","1,845","90","54","180","9"
"PARTIDO DEMOCRATICO SOMOS PERU","1,948","453","257","48","14"
"PARTIDO POLITICO NACIONAL PERU LIBRE","56,594","11,124","8,643","1,413","311"
"DEMOCRACIA DIRECTA","2,323","968","149","257","11"
"ALIANZA PARA EL PROGRESO","2,199","441","330","232","18"
"TOTAL DE VOTOS VÁLIDOS","153,957","","","",""
"VOTOS BLANCOS","34,714","","","",""
"VOTOS NULOS","30,663","","","",""
"TOTAL DE VOTOS EMITIDOS","219,334","","","",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"1,125","1,125","0"
""
""
"INFORMACIóN REFERENCIAL"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"1,125","0","0"
""
""
"ACTAS ENVIADAS AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con mas de un tipo de Observacion"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADOS POR RESOLUCIóN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"11","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
