Resultados Elecciones Generales Congresal - 

"ANCASH"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"886,265","614,345","69.318"
""
""
" ","Total",1,2,3,4,5,6
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP","21,731","7,134","2,291","1,403","1,125","2,385","1,207"
"PARTIDO NACIONALISTA PERUANO","5,758","927","347","184","391","181","156"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","9,275","522","253","3,837","104","317","44"
"PARTIDO MORADO","11,626","1,114","1,541","1, 693","529","1,570","501"
"PERU PATRIA SEGURA","3,370","361","439","659","206","277","9"
"VICTORIA NACIONAL","21,551","4,029","1,665","6,055","412","447","102"
"ACCION POPULAR","37,787","6,505","5,043","3,138","4,766","1,497","701"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","24,582","3,731","2,665","3,720","1,658","2,637","1,021"
"PODEMOS PERU","24,110","5,796","3,437","3,178","452","3,280","343"
"JUNTOS POR EL PERU","27,260","4,258","3,303","1,687","2,346","3,051","742"
"PARTIDO POPULAR CRISTIANO - PPC","6,171","976","227","394","251","1,718","54"
"FUERZA POPULAR","47,887","3,206","3,950","2,505","1,635","2,194","712"
"UNION POR EL PERU","4,651","873","490","184","397","618","144"
"RENOVACION POPULAR ","25,906","4,810","3,156","918","699","2,443","180"
"RENACIMIENTO UNIDO NACIONAL","2,844","384","227","123","37","54","7"
"PARTIDO DEMOCRATICO SOMOS PERU","26,703","7,969","1,822","2,039","474","2,538","214"
"PARTIDO POLITICO NACIONAL PERU LIBRE","68,967","8,286","6,328","2,890","3,720","1,603","251"
"DEMOCRACIA DIRECTA","4,045","1,076","416","294","85","410","96"
"ALIANZA PARA EL PROGRESO","39,637","2,640","6,203","3,523","3,260","5,536","349"
"TOTAL DE VOTOS VÁLIDOS","413,861","","","","","",""
"VOTOS BLANCOS","97,067","","","","","",""
"VOTOS NULOS","103,417","","","","","",""
"TOTAL DE VOTOS EMITIDOS","614,345","","","","","",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"3,102","3,102","0"
""
""
"INFORMACIóN REFERENCIAL"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"3,102","0","0"
""
""
"ACTAS ENVIADAS AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con mas de un tipo de Observacion"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADOS POR RESOLUCIóN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"47","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
