Resultados Elecciones Generales Congresal - 

"AREQUIPA"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"1,145,268","902,110","78.768"
""
""
" ","Total",1,2,3,4,5,6
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP","52,287","11,557","7,421","5,317","2,135","5,063","1,708"
"PARTIDO NACIONALISTA PERUANO","7,680","946","1,029","471","659","182","176"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","6,606","1,480","477","848","392","317","516"
"PARTIDO MORADO","58,049","17,188","4,015","20,305","6,683","5,506","1,728"
"PERU PATRIA SEGURA","2,575","279","148","125","184","89","120"
"VICTORIA NACIONAL","33,773","12,574","3,448","6,691","1,360","766","649"
"ACCION POPULAR","70,871","16,372","10,692","9,100","3,946","4,217","590"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","87,241","24,948","11,803","7,737","3,168","3,036","3,452"
"PODEMOS PERU","23,565","7,225","4,639","1,092","1,093","1,967","403"
"JUNTOS POR EL PERU","43,779","8,531","3,718","5,745","6,905","5,976","1,001"
"PARTIDO POPULAR CRISTIANO - PPC","10,700","1,896","2,260","1,831","895","673","309"
"FUERZA POPULAR","28,688","3,353","3,394","1,377","954","530","238"
"UNION POR EL PERU","21,148","4,002","5,567","2,265","1,769","1,908","362"
"RENOVACION POPULAR","58,246","15,693","10,621","7,356","3,282","5,675","1,395"
"RENACIMIENTO UNIDO NACIONAL","4,898","826","378","536","211","176","52"
"PARTIDO DEMOCRATICO SOMOS PERU","25,433","8,474","2,037","4,392","910","1,620","383"
"PARTIDO POLITICO NACIONAL PERU LIBRE","181,049","41,430","29,293","18,673","5,054","6,897","2,977"
"DEMOCRACIA DIRECTA","3,681","755","483","166","142","170","57"
"ALIANZA PARA EL PROGRESO","18,375","4,832","1,235","965","1,313","1,348","486"
"TOTAL DE VOTOS VÁLIDOS","738,644","","","","","",""
"VOTOS BLANCOS","73,287","","","","","",""
"VOTOS NULOS","90,179","","","","","",""
"TOTAL DE VOTOS EMITIDOS","902,110","","","","","",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"3,950","3,950","0"
""
""
"INFORMACIóN REFERENCIAL"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"3,950","0","0"
""
""
"ACTAS ENVIADAS AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con mas de un tipo de Observacion"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADOS POR RESOLUCIóN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"16","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
